order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
26,urn1,César Revilla,CR,Fuerza Popular,FP,INDETERMINADO,8231,16,bandeja1,2,-0.150224,4.086929,0.049981,-0.03,-0.07,-19.0,16,OPCION 4,2.0
25,urn1,Auristela Obando,AO,Fuerza Popular,FP,INDETERMINADO,8231,17,bandeja1,2,0.161505,4.007948,0.049862,-0.25,0.02,85.21,17,OPCION 4,2.1
21,urn1,George Málaga,GM,No agrupado,NA,INDETERMINADO,8231,18,bandeja1,2,-0.132112,3.933145,0.049977,-0.08,0.02,71.16,18,OPCION 4,2.2
28,urn1,Magally Santisteban,MS,Fuerza Popular,FP,INDETERMINADO,8231,19,bandeja1,2,0.145948,3.926336,0.049992,-0.04,-180.0,50.26,19,OPCION 2,2.3
16,urn1,Idelso García,IG,Alianza para el Progreso,APP,INDETERMINADO,8231,20,bandeja1,2,-0.029183,4.204443,0.069912,-0.02,-0.05,-6.73,20,OPCION 4,2.4
18,urn1,Mery Infantes,MI,Fuerza Popular,FP,INDETERMINADO,8231,21,bandeja1,2,0.097728,4.007843,0.049968,-0.03,0.06,-4.53,21,OPCION 4,2.5
19,urn1,Patricia Juárez,PJ,Fuerza Popular,FP,INDETERMINADO,8231,22,bandeja1,2,-0.125104,4.097159,0.06999,179.93,-0.04,15.01,22,OPCION 2,2.6
15,urn1,Víctor Flores,VF,Fuerza Popular,FP,INDETERMINADO,8231,23,bandeja1,2,0.07621,4.147099,0.049824,-179.76,0.12,7.57,23,OPCION 2,2.7
20,urn1,Judith Laura,JL,Podemos Perú,PP,INDETERMINADO,8231,24,bandeja1,2,-0.110156,3.877215,0.070004,-0.04,0.03,-52.43,24,OPCION 4,2.8
7,urn1,Luis Cordero,LC,Alianza para el Progreso,APP,INDETERMINADO,8231,25,bandeja1,2,-0.22123,4.07555,0.049888,-0.48,-0.15,71.02,25,OPCION 4,2.9
10,urn1,José Cueto,JC,Renovación Popular,RP,INDETERMINADO,8231,26,bandeja1,2,-0.007147,4.148842,0.069982,-0.04,-0.04,-6.8,26,OPCION 2,3.0
17,urn1,Nelcy Heidinger,NH,Alianza para el Progreso,APP,INDETERMINADO,8231,27,bandeja1,2,-0.170804,3.866203,0.049804,-0.01,-0.08,73.28,27,OPCION 2,3.1
11,urn1,Pasión Dávila,PD,Bancada Socialista,BS,OPCION 4,8231,29,bandeja1,2,0.198808,4.015958,0.069978,0.18,-0.09,83.85,28,OPCION 4,3.2
29,urn1,Rosio Torres,RT,Alianza para el Progreso,APP,INDETERMINADO,8231,28,bandeja1,2,-0.174723,4.015897,0.049954,0.66,0.48,161.04,29,OPCION 2,3.3
12,urn1,Hamlet Echeverría,HE,Juntos por el Perú,JPP,OPCION 4,8231,30,bandeja1,2,-0.007194,4.136196,0.049994,0.0,-0.0,-16.96,30,OPCION 4,3.4
